MEM_COMMITTED,1472076164163,545259520
MEM_MAX,1472076164163,5368709120
GC_TIME,1472076164163,156810
GC_COUNT,1472076164163,946
MEM_USED,1472076165164,86571320
MEM_ALLOC_RATE,1472076165164,865713
MEM_COMMITTED,1472076165164,545259520
MEM_MAX,1472076165164,5368709120
GC_TIME,1472076165164,156813
GC_COUNT,1472076165164,948
MEM_USED,1472076166163,242807080
MEM_ALLOC_RATE,1472076166163,2428070
MEM_COMMITTED,1472076166163,545259520
MEM_MAX,1472076166163,5368709120
GC_TIME,1472076166163,156814
GC_COUNT,1472076166163,949
MEM_USED,1472076167163,400095544
MEM_ALLOC_RATE,1472076167163,4000955
MEM_COMMITTED,1472076167163,545259520
MEM_MAX,1472076167163,5368709120
GC_TIME,1472076167163,156815
GC_COUNT,1472076167163,950
MEM_USED,1472076168163,230226232
MEM_ALLOC_RATE,1472076168163,2302262
MEM_COMMITTED,1472076168163,545259520
MEM_MAX,1472076168163,5368709120
GC_TIME,1472076168163,156817
GC_COUNT,1472076168163,952
MEM_USED,1472076169163,388561208
MEM_ALLOC_RATE,1472076169163,3885612
MEM_COMMITTED,1472076169163,545259520
MEM_MAX,1472076169163,5368709120
GC_TIME,1472076169163,156819
GC_COUNT,1472076169163,953
MEM_USED,1472076170163,218689832
MEM_ALLOC_RATE,1472076170163,2186898
MEM_COMMITTED,1472076170163,545259520
MEM_MAX,1472076170163,5368709120
GC_TIME,1472076170163,156821
GC_COUNT,1472076170163,955
MEM_USED,1472076171163,377026872
MEM_ALLOC_RATE,1472076171163,3770268
MEM_COMMITTED,1472076171163,545259520
MEM_MAX,1472076171163,5368709120
GC_TIME,1472076171163,156823
GC_COUNT,1472076171163,956
MEM_USED,1472076172163,207157560
MEM_ALLOC_RATE,1472076172163,2071575
MEM_COMMITTED,1472076172163,545259520
MEM_MAX,1472076172163,5368709120
GC_TIME,1472076172163,156825
GC_COUNT,1472076172163,958
MEM_USED,1472076173163,364441896
MEM_ALLOC_RATE,1472076173163,3644418
MEM_COMMITTED,1472076173163,545259520
MEM_MAX,1472076173163,5368709120
GC_TIME,1472076173163,156826
GC_COUNT,1472076173163,959
MEM_USED,1472076174163,194574648
MEM_ALLOC_RATE,1472076174163,1945746
MEM_COMMITTED,1472076174163,545259520
MEM_MAX,1472076174163,5368709120
GC_TIME,1472076174163,156829
GC_COUNT,1472076174163,961
MEM_USED,1472076175163,351858984
MEM_ALLOC_RATE,1472076175163,3518589
MEM_COMMITTED,1472076175163,545259520
MEM_MAX,1472076175163,5368709120
GC_TIME,1472076175163,156830
GC_COUNT,1472076175163,962
MEM_USED,1472076176163,181989672
MEM_ALLOC_RATE,1472076176163,1819896
MEM_COMMITTED,1472076176163,545259520
MEM_MAX,1472076176163,5368709120
GC_TIME,1472076176163,156833
GC_COUNT,1472076176163,964
MEM_USED,1472076177163,339278136
MEM_ALLOC_RATE,1472076177163,3392781
MEM_COMMITTED,1472076177163,545259520
MEM_MAX,1472076177163,5368709120
GC_TIME,1472076177163,156834
GC_COUNT,1472076177163,965
MEM_USED,1472076178163,169406760
MEM_ALLOC_RATE,1472076178163,1694067
MEM_COMMITTED,1472076178163,545259520
MEM_MAX,1472076178163,5368709120
GC_TIME,1472076178163,156836
GC_COUNT,1472076178163,967
MEM_USED,1472076179163,326693160
MEM_ALLOC_RATE,1472076179163,3266931
MEM_COMMITTED,1472076179163,545259520
MEM_MAX,1472076179163,5368709120
GC_TIME,1472076179163,156838
GC_COUNT,1472076179163,968
MEM_USED,1472076180163,156825912
MEM_ALLOC_RATE,1472076180163,1568259
MEM_COMMITTED,1472076180163,545259520
MEM_MAX,1472076180163,5368709120
GC_TIME,1472076180163,156841
GC_COUNT,1472076180163,970
MEM_USED,1472076181163,314110248
MEM_ALLOC_RATE,1472076181163,3141102
MEM_COMMITTED,1472076181163,545259520
MEM_MAX,1472076181163,5368709120
GC_TIME,1472076181163,156842
GC_COUNT,1472076181163,971
MEM_USED,1472076182163,145289512
MEM_ALLOC_RATE,1472076182163,1452895
MEM_COMMITTED,1472076182163,545259520
MEM_MAX,1472076182163,5368709120
GC_TIME,1472076182163,156845
GC_COUNT,1472076182163,973
MEM_USED,1472076183164,302575912
MEM_ALLOC_RATE,1472076183164,3025759
MEM_COMMITTED,1472076183164,545259520
MEM_MAX,1472076183164,5368709120
GC_TIME,1472076183164,156846
GC_COUNT,1472076183164,974
MEM_USED,1472076184163,132706600
MEM_ALLOC_RATE,1472076184163,1327066
MEM_COMMITTED,1472076184163,545259520
MEM_MAX,1472076184163,5368709120
GC_TIME,1472076184163,156849
GC_COUNT,1472076184163,976
MEM_USED,1472076185163,289995064
MEM_ALLOC_RATE,1472076185163,2899950
MEM_COMMITTED,1472076185163,545259520
MEM_MAX,1472076185163,5368709120
GC_TIME,1472076185163,156850
GC_COUNT,1472076185163,977
MEM_USED,1472076186163,120123688
MEM_ALLOC_RATE,1472076186163,1201236
MEM_COMMITTED,1472076186163,545259520
MEM_MAX,1472076186163,5368709120
GC_TIME,1472076186163,156853
GC_COUNT,1472076186163,979
MEM_USED,1472076187163,277410088
MEM_ALLOC_RATE,1472076187163,2774100
MEM_COMMITTED,1472076187163,545259520
MEM_MAX,1472076187163,5368709120
